nickname,subclass,전투력
별왕,카데나,235109148.0
비명,카데나,296562957.0
초코빵내꺼야,카데나,408384852.0
사슬낫의제니,카데나,233263214.0
기요오,카데나,142765983.0
힝반냥,카데나,219576745.0
기문,카데나,181777284.0
Closer,카데나,155873988.0
카와나,카데나,150391680.0
달빈쿡,카데나,199217233.0
잉낭네,카데나,159732944.0
터프허슬,카데나,123860671.0
연계,카데나,363646962.0
버닝윤석열,카데나,188949513.0
미르스틴이름,카데나,179216362.0
알티,카데나,1052998443.0
항구그냉,카데나,107898648.0
포니지니,카데나,130481048.0
나히닷,카데나,100662074.0
보고,카데나,580708458.0
식사중일땐좀,카데나,244714936.0
메일스트롬,카데나,235594919.0
카태나,카데나,177334021.0
의의,카데나,128656344.0
하애꼬,카데나,329727785.0
크오크,카데나,117795122.0
쟝원영,카데나,122348292.0
데물장,카데나,149164889.0
Alyida,카데나,173967183.0
개백,카데나,123102481.0
태청천,카데나,353709932.0
완벽공략,카데나,133122645.0
묻진,카데나,41211104.0
쪼진,카데나,158243093.0
쮜르,카데나,138174712.0
여츱,카데나,151296342.0
젠듬이,카데나,132352906.0
펌찌,카데나,207087729.0
쮸겡,카데나,377775153.0
캇낟,카데나,74599756.0
지끈,카데나,535400372.0
추릅,카데나,334267489.0
쿵쿵형님,카데나,134285447.0
봄데나,카데나,113855447.0
환타쉐이커,카데나,412068850.0
귤맛이,카데나,127378748.0
채민,카데나,170358115.0
흑례,카데나,190925730.0
내다버린콩,카데나,165287740.0
루나뮤직,카데나,150162758.0
베히모스,카데나,174653445.0
석쭝,카데나,442853844.0
대선한개,카데나,166179891.0
o카데나o,카데나,139609030.0
히스테링,카데나,119321894.0
미츠이,카데나,150213814.0
충이,카데나,463228033.0
죽여,카데나,63410324.0
터슬,카데나,110431728.0
채후니,카데나,185614612.0
믹싱,카데나,169263342.0
솔루션,카데나,275561549.0
하덴하,카데나,222956819.0
끄소,카데나,317039310.0
최찍,카데나,130424038.0
Flow,카데나,421384589.0
